LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
60.00	-980.00	380.00	0.79	-0.91	1.16	150.00	-900.00	180.00	0.18	-0.24	0.49	-60.00	-1010.00	-140.00	0.43	0.12	0.49	190.00	-1000.00	140.00	-2.26	-2.87	-0.24
70.00	-980.00	380.00	0.91	-0.91	1.22	150.00	-900.00	180.00	0.12	-0.18	0.55	-70.00	-1010.00	-140.00	0.37	0.18	0.55	190.00	-1000.00	140.00	-1.34	-2.07	-0.49
60.00	-980.00	380.00	0.98	-1.04	1.22	150.00	-900.00	180.00	0.12	-0.18	0.55	-70.00	-1010.00	-140.00	0.24	0.43	0.43	190.00	-990.00	130.00	-1.34	-2.07	-0.49
60.00	-980.00	380.00	0.98	-1.04	1.22	150.00	-900.00	180.00	0.12	-0.18	0.55	-70.00	-1010.00	-140.00	0.06	0.73	0.37	190.00	-990.00	130.00	-1.10	-1.52	-0.43
60.00	-980.00	380.00	0.85	-0.79	1.10	150.00	-900.00	180.00	0.12	-0.18	0.55	-60.00	-1010.00	-140.00	0.06	0.67	0.24	180.00	-990.00	140.00	-0.55	-0.91	-0.55
60.00	-980.00	380.00	0.85	-0.79	1.10	160.00	-900.00	180.00	0.06	-0.12	0.61	-70.00	-1010.00	-140.00	-0.12	0.73	0.18	190.00	-1000.00	130.00	-0.06	-0.24	-0.43
60.00	-980.00	380.00	0.73	-0.98	1.22	160.00	-900.00	180.00	0.06	-0.12	0.61	-70.00	-1000.00	-140.00	-0.12	0.30	0.12	190.00	-1000.00	130.00	-0.06	-0.24	-0.43
60.00	-980.00	380.00	0.61	-0.91	1.22	160.00	-900.00	180.00	0.06	-0.12	0.61	-70.00	-1010.00	-140.00	-0.30	-0.49	-0.18	190.00	-990.00	130.00	-0.18	-0.06	-0.18
60.00	-980.00	380.00	0.61	-0.91	1.22	160.00	-900.00	180.00	-0.18	0.12	0.67	-70.00	-1010.00	-140.00	-0.61	-2.44	-0.91	190.00	-990.00	130.00	-0.49	0.12	0.12
60.00	-980.00	380.00	0.61	-0.85	1.22	150.00	-900.00	190.00	0.18	-0.12	0.98	-70.00	-1010.00	-140.00	-0.98	-4.76	-1.59	190.00	-990.00	130.00	-0.49	0.12	0.12
60.00	-980.00	380.00	0.67	-0.85	1.34	150.00	-900.00	190.00	0.18	-0.12	0.98	-70.00	-1010.00	-140.00	-1.40	-5.73	-1.89	190.00	-990.00	130.00	-0.67	0.43	0.18
60.00	-990.00	380.00	0.67	-0.85	1.34	150.00	-900.00	190.00	0.18	-0.12	0.98	-70.00	-1010.00	-140.00	-1.46	-5.85	-1.83	190.00	-990.00	140.00	-0.67	0.43	0.18
60.00	-980.00	380.00	0.67	-0.85	1.28	150.00	-900.00	190.00	0.24	-0.18	1.04	-60.00	-1010.00	-140.00	-1.34	-4.63	-1.40	200.00	-1000.00	140.00	-0.43	0.30	0.18
60.00	-980.00	380.00	0.61	-0.85	1.28	150.00	-900.00	190.00	0.24	-0.18	1.04	-60.00	-1010.00	-140.00	-1.22	-3.48	-1.28	200.00	-1000.00	140.00	-0.43	0.30	0.18
60.00	-980.00	380.00	0.61	-0.85	1.28	150.00	-900.00	190.00	0.24	-0.18	1.04	-70.00	-1010.00	-140.00	-1.10	-2.62	-1.16	190.00	-990.00	140.00	-0.43	0.30	0.18
60.00	-980.00	380.00	0.37	-0.73	0.98	150.00	-900.00	190.00	0.12	-0.06	0.91	-60.00	-1010.00	-140.00	-0.98	-1.77	-1.04	190.00	-990.00	140.00	-0.43	0.18	0.24
60.00	-980.00	380.00	0.18	-0.73	0.85	150.00	-910.00	180.00	-0.67	0.24	0.30	-70.00	-1010.00	-140.00	-0.85	-1.04	-1.04	190.00	-990.00	130.00	-0.49	0.12	0.24
70.00	-990.00	380.00	0.18	-0.73	0.85	150.00	-910.00	180.00	-0.67	0.24	0.30	-70.00	-1010.00	-140.00	-0.79	-0.30	-1.16	200.00	-990.00	130.00	-0.73	0.12	0.12
70.00	-990.00	380.00	0.24	-0.73	0.79	150.00	-910.00	180.00	-0.67	0.24	0.30	-70.00	-1010.00	-150.00	-0.79	0.24	-1.16	190.00	-1000.00	130.00	-0.73	0.12	0.12
60.00	-980.00	380.00	0.24	-0.79	0.67	150.00	-910.00	190.00	-0.85	0.18	0.06	-70.00	-1010.00	-150.00	-0.85	0.91	-1.04	190.00	-1000.00	130.00	-0.73	0.12	0.12
70.00	-990.00	380.00	0.24	-0.79	0.67	150.00	-910.00	190.00	-0.85	0.18	0.06	-70.00	-1000.00	-150.00	-0.73	1.16	-0.79	200.00	-1000.00	130.00	-0.73	-0.12	0.12
70.00	-990.00	380.00	0.24	-0.85	0.61	150.00	-910.00	190.00	-0.85	0.18	0.06	-70.00	-1010.00	-140.00	-0.37	0.91	-0.61	190.00	-1000.00	140.00	-0.85	-0.12	0.18
