LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
60.00	-1020.00	270.00	0.98	-2.50	2.07	280.00	-710.00	-490.00	-0.37	0.24	0.79	-150.00	-1030.00	-20.00	0.67	1.59	0.61	70.00	-910.00	480.00	1.34	-0.43	1.59
60.00	-1030.00	270.00	0.98	-2.44	2.13	280.00	-710.00	-490.00	-0.37	0.24	0.79	-150.00	-1030.00	-20.00	0.67	1.28	0.79	70.00	-920.00	480.00	1.40	-0.43	1.83
60.00	-1020.00	270.00	0.98	-2.20	2.13	280.00	-710.00	-490.00	-0.12	0.06	0.55	-150.00	-1030.00	-30.00	0.73	1.04	0.98	70.00	-920.00	480.00	1.22	-0.43	1.89
60.00	-1020.00	270.00	1.04	-1.95	2.20	280.00	-710.00	-490.00	-0.06	0.06	0.55	-150.00	-1030.00	-20.00	0.79	0.91	1.22	70.00	-920.00	480.00	1.22	-0.43	1.89
60.00	-1030.00	260.00	1.10	-1.83	2.13	280.00	-710.00	-490.00	-0.06	0.06	0.55	-160.00	-1030.00	-20.00	0.85	0.79	1.34	70.00	-910.00	480.00	1.22	-0.43	1.89
60.00	-1030.00	270.00	1.16	-1.77	2.07	280.00	-710.00	-490.00	0.06	0.00	0.73	-150.00	-1020.00	-30.00	0.85	0.91	1.28	70.00	-910.00	480.00	1.04	-0.06	1.95
60.00	-1030.00	270.00	0.98	-1.71	2.13	280.00	-710.00	-490.00	0.30	0.12	0.79	-140.00	-1030.00	-30.00	0.91	0.79	1.10	70.00	-910.00	480.00	0.98	0.18	1.77
60.00	-1020.00	270.00	1.10	-1.71	2.07	280.00	-710.00	-490.00	0.30	0.18	0.85	-150.00	-1030.00	-30.00	1.10	0.85	1.10	70.00	-910.00	480.00	0.98	0.12	1.83
60.00	-1030.00	270.00	1.16	-1.83	2.13	280.00	-710.00	-490.00	0.30	0.18	0.85	-150.00	-1030.00	-30.00	1.28	0.85	1.04	70.00	-910.00	490.00	0.98	-0.06	2.01
60.00	-1030.00	270.00	1.22	-1.83	2.01	280.00	-710.00	-490.00	0.24	0.06	0.85	-150.00	-1030.00	-20.00	1.28	0.79	1.10	70.00	-910.00	490.00	0.98	-0.06	2.01
60.00	-1030.00	270.00	1.22	-1.83	2.07	280.00	-710.00	-490.00	0.30	0.06	0.79	-150.00	-1030.00	-30.00	1.22	0.73	1.16	70.00	-920.00	480.00	0.98	0.06	2.26
60.00	-1030.00	270.00	1.22	-1.89	1.95	280.00	-710.00	-490.00	0.30	0.06	0.79	-150.00	-1030.00	-20.00	1.22	0.55	1.28	70.00	-920.00	480.00	1.04	0.00	2.62
60.00	-1020.00	270.00	1.34	-1.89	1.83	280.00	-710.00	-500.00	0.24	0.18	1.40	-150.00	-1030.00	-20.00	1.16	0.55	1.28	70.00	-920.00	480.00	1.04	0.00	2.62
60.00	-1020.00	270.00	1.40	-1.89	1.89	280.00	-710.00	-490.00	0.18	0.30	1.59	-150.00	-1030.00	-30.00	1.22	0.79	1.16	70.00	-920.00	480.00	1.04	0.00	2.62
60.00	-1020.00	260.00	1.40	-1.77	2.07	280.00	-710.00	-490.00	0.18	0.30	1.59	-160.00	-1040.00	-20.00	1.28	0.55	0.98	70.00	-920.00	480.00	1.04	-0.06	2.56
60.00	-1030.00	270.00	1.34	-1.71	2.07	280.00	-710.00	-490.00	0.18	0.30	1.59	-150.00	-1030.00	-20.00	1.28	0.55	0.98	70.00	-920.00	480.00	1.10	-0.24	2.68
50.00	-1030.00	270.00	1.46	-1.77	2.01	280.00	-710.00	-490.00	0.18	0.55	1.71	-150.00	-1030.00	-20.00	1.40	0.61	1.04	70.00	-920.00	480.00	1.28	-0.49	2.93
60.00	-1030.00	270.00	1.40	-1.77	2.07	280.00	-710.00	-490.00	0.06	0.61	1.89	-160.00	-1030.00	-20.00	1.59	0.30	1.22	70.00	-910.00	480.00	1.40	-0.73	2.93
60.00	-1030.00	270.00	1.46	-1.71	2.01	280.00	-710.00	-490.00	0.06	0.61	1.89	-160.00	-1030.00	-20.00	1.59	0.30	1.22	70.00	-910.00	480.00	1.40	-0.73	2.93
60.00	-1030.00	270.00	1.40	-1.65	2.13	280.00	-710.00	-490.00	0.12	0.79	2.13	-150.00	-1030.00	-30.00	1.52	0.18	1.46	70.00	-910.00	480.00	1.59	-0.85	2.62
60.00	-1020.00	270.00	1.40	-1.59	2.13	280.00	-710.00	-490.00	-0.06	1.16	2.32	-150.00	-1030.00	-30.00	1.52	0.18	1.65	70.00	-910.00	480.00	1.65	-0.91	2.62
60.00	-1020.00	270.00	1.40	-1.59	2.13	280.00	-710.00	-490.00	-0.12	1.28	2.80	-150.00	-1030.00	-20.00	1.52	0.18	1.77	70.00	-920.00	480.00	1.65	-0.91	2.62
60.00	-1020.00	270.00	1.52	-1.65	2.20	280.00	-710.00	-490.00	-0.12	1.28	2.80	-150.00	-1030.00	-30.00	1.52	0.43	1.77	70.00	-910.00	490.00	1.65	-0.91	2.74
60.00	-1020.00	260.00	1.52	-1.71	2.32	280.00	-710.00	-490.00	0.00	1.04	2.80	-150.00	-1030.00	-20.00	1.71	0.73	1.65	60.00	-920.00	480.00	1.59	-0.85	2.93
60.00	-1030.00	270.00	1.52	-1.71	2.50	280.00	-710.00	-490.00	0.00	1.04	2.80	-150.00	-1030.00	-20.00	1.65	0.73	1.59	60.00	-920.00	480.00	1.52	-0.85	2.80
60.00	-1020.00	270.00	1.52	-1.65	2.68	280.00	-710.00	-490.00	0.98	-0.24	0.98	-150.00	-1030.00	-20.00	1.71	0.79	1.52	60.00	-920.00	480.00	1.52	-0.85	2.80
50.00	-1020.00	280.00	1.71	-1.65	2.80	280.00	-710.00	-490.00	0.91	-0.49	0.79	-150.00	-1030.00	-20.00	1.59	0.98	1.46	70.00	-920.00	480.00	1.52	-0.85	2.80
50.00	-1030.00	270.00	1.83	-1.83	2.87	280.00	-710.00	-490.00	1.04	-0.55	0.67	-150.00	-1030.00	-20.00	1.34	0.98	1.59	70.00	-920.00	480.00	1.52	-0.79	2.56
60.00	-1020.00	270.00	1.89	-1.77	2.87	280.00	-710.00	-490.00	1.04	-0.55	0.67	-160.00	-1030.00	-20.00	1.34	0.85	1.83	70.00	-910.00	480.00	1.59	-0.85	2.56
60.00	-1030.00	270.00	1.89	-1.59	2.93	280.00	-710.00	-490.00	1.22	-0.73	0.73	-160.00	-1030.00	-10.00	1.34	0.61	1.89	70.00	-920.00	490.00	1.59	-0.85	2.56
60.00	-1030.00	270.00	1.89	-1.16	2.99	280.00	-710.00	-490.00	1.22	-0.73	0.73	-160.00	-1030.00	-10.00	1.16	0.67	2.01	60.00	-910.00	490.00	1.65	-0.91	2.68
60.00	-1030.00	270.00	1.89	-0.49	3.05	280.00	-720.00	-490.00	0.91	-0.49	0.61	-160.00	-1030.00	-20.00	1.16	0.61	2.20	70.00	-920.00	490.00	1.77	-0.91	2.68
50.00	-1030.00	270.00	1.89	-0.49	3.05	280.00	-720.00	-490.00	1.10	-0.67	0.43	-160.00	-1030.00	-20.00	1.10	0.24	2.50	70.00	-920.00	490.00	1.52	-0.67	2.80
50.00	-1020.00	270.00	1.95	-0.37	3.29	280.00	-720.00	-490.00	1.10	-0.67	0.43	-150.00	-1030.00	-20.00	1.10	0.18	2.56	60.00	-920.00	480.00	1.16	-0.12	2.01
50.00	-1020.00	270.00	1.89	-0.24	3.48	280.00	-720.00	-490.00	1.59	-1.46	-0.73	-150.00	-1030.00	-20.00	0.98	0.18	2.56	60.00	-920.00	480.00	1.16	-0.12	2.01
60.00	-1020.00	280.00	2.13	-0.55	3.23	280.00	-720.00	-490.00	1.59	-1.46	-0.73	-150.00	-1030.00	-20.00	0.98	0.18	2.62	60.00	-920.00	480.00	1.16	-0.12	2.13
60.00	-1030.00	280.00	2.13	-0.55	3.23	270.00	-720.00	-490.00	1.71	-1.40	-0.85	-160.00	-1030.00	-20.00	0.85	-0.12	2.74	70.00	-910.00	490.00	1.28	-0.12	2.07
50.00	-1030.00	270.00	2.13	-0.55	3.23	280.00	-720.00	-490.00	1.71	-1.40	-0.85	-160.00	-1030.00	-20.00	0.85	-0.12	2.74	60.00	-910.00	490.00	1.16	-0.18	1.77
50.00	-1030.00	270.00	2.20	-1.65	2.32	280.00	-720.00	-490.00	1.46	-1.22	-0.73	-170.00	-1030.00	-20.00	0.67	-0.55	2.68	60.00	-920.00	490.00	1.16	-0.18	1.77
50.00	-1020.00	270.00	2.13	-1.77	2.26	280.00	-720.00	-490.00	1.46	-1.22	-0.73	-160.00	-1030.00	-20.00	0.67	-0.55	2.68	60.00	-920.00	480.00	1.16	-0.18	1.77
50.00	-1030.00	270.00	2.13	-1.77	2.26	280.00	-720.00	-490.00	1.34	-1.04	-0.67	-160.00	-1030.00	-20.00	0.98	-0.73	2.62	60.00	-910.00	480.00	1.28	-0.43	1.83
40.00	-1020.00	270.00	2.38	-1.65	2.01	280.00	-720.00	-490.00	1.34	-0.91	-0.43	-150.00	-1030.00	-20.00	0.98	-0.73	2.62	60.00	-910.00	480.00	1.28	-0.43	1.83
50.00	-1020.00	270.00	2.56	-1.71	2.13	280.00	-720.00	-480.00	1.34	-0.91	-0.43	-160.00	-1030.00	-20.00	0.98	-0.73	2.62	60.00	-910.00	480.00	1.28	-0.43	1.83
50.00	-1020.00	270.00	2.56	-1.71	2.13	280.00	-720.00	-480.00	1.22	-0.85	-0.37	-160.00	-1030.00	-20.00	1.28	-0.91	2.80	60.00	-920.00	480.00	1.59	-0.91	1.77
50.00	-1020.00	270.00	2.56	-1.71	2.13	270.00	-720.00	-490.00	1.22	-0.85	-0.37	-160.00	-1020.00	-20.00	0.98	-0.79	2.62	60.00	-910.00	480.00	1.52	-0.91	1.83
50.00	-1030.00	270.00	2.56	-1.89	2.26	280.00	-720.00	-490.00	1.22	-1.04	-0.43	-170.00	-1030.00	-20.00	0.98	-0.79	2.62	60.00	-910.00	480.00	1.52	-0.91	1.83
50.00	-1030.00	270.00	2.56	-2.01	2.01	280.00	-720.00	-490.00	1.22	-1.04	-0.43	-160.00	-1030.00	-10.00	0.98	-0.79	2.62	50.00	-910.00	480.00	1.52	-0.91	1.95
50.00	-1030.00	270.00	2.56	-2.01	2.01	280.00	-720.00	-480.00	1.22	-0.98	-0.49	-160.00	-1030.00	-10.00	1.28	-0.98	2.62	60.00	-920.00	480.00	1.65	-1.10	1.95
50.00	-1030.00	280.00	2.50	-1.83	1.71	280.00	-720.00	-480.00	1.16	-0.98	-0.55	-160.00	-1030.00	-10.00	1.28	-0.98	2.62	60.00	-920.00	480.00	1.65	-1.10	1.95
50.00	-1030.00	280.00	2.50	-1.83	1.71	280.00	-720.00	-480.00	1.16	-0.98	-0.55	-170.00	-1030.00	-10.00	1.28	-0.98	2.62	60.00	-920.00	480.00	1.65	-1.10	1.95
50.00	-1030.00	280.00	2.56	-1.77	1.65	280.00	-720.00	-480.00	1.22	-1.16	-0.55	-170.00	-1030.00	-20.00	1.77	-0.73	2.62	50.00	-920.00	480.00	1.59	-1.04	1.89
40.00	-1020.00	280.00	2.56	-1.77	1.65	280.00	-720.00	-490.00	1.22	-1.16	-0.55	-170.00	-1030.00	-20.00	1.77	-0.73	2.62	50.00	-920.00	480.00	1.59	-0.98	1.89
50.00	-1020.00	280.00	2.44	-2.13	1.46	280.00	-720.00	-490.00	1.04	-1.04	-0.55	-170.00	-1030.00	-20.00	1.77	-0.61	2.20	50.00	-920.00	480.00	1.59	-0.98	1.89
50.00	-1020.00	280.00	2.26	-2.50	1.34	280.00	-720.00	-490.00	1.04	-1.04	-0.55	-170.00	-1030.00	-10.00	1.77	-0.61	2.20	50.00	-920.00	480.00	1.40	-0.91	1.83
50.00	-1020.00	280.00	2.44	-2.74	1.04	280.00	-720.00	-490.00	0.91	-1.04	-0.67	-160.00	-1030.00	-10.00	1.71	-0.43	1.65	50.00	-910.00	490.00	1.46	-0.98	1.77
40.00	-1030.00	280.00	2.32	-2.87	0.85	280.00	-720.00	-480.00	0.91	-0.79	-0.73	-160.00	-1030.00	-10.00	1.71	-0.43	1.65	50.00	-910.00	490.00	1.46	-0.98	1.77
40.00	-1020.00	280.00	2.50	-2.80	0.85	280.00	-720.00	-480.00	0.91	-0.79	-0.73	-170.00	-1030.00	-0.00	1.40	-0.37	1.83	50.00	-910.00	490.00	1.46	-0.91	1.59
40.00	-1020.00	280.00	2.50	-2.80	0.85	280.00	-720.00	-480.00	0.91	-0.79	-0.73	-170.00	-1030.00	-10.00	1.28	0.06	1.34	60.00	-920.00	480.00	1.40	-0.85	1.46
40.00	-1020.00	280.00	1.95	-2.26	0.98	280.00	-710.00	-480.00	0.79	-0.91	-0.85	-170.00	-1030.00	-10.00	1.28	0.12	1.16	60.00	-910.00	490.00	1.40	-0.85	1.46
40.00	-1020.00	280.00	1.95	-2.26	0.98	280.00	-710.00	-480.00	0.79	-1.22	-0.98	-180.00	-1030.00	-10.00	1.28	0.12	1.16	60.00	-910.00	490.00	1.40	-0.85	1.46
40.00	-1030.00	280.00	1.89	-2.26	0.91	280.00	-710.00	-480.00	0.79	-1.22	-0.98	-170.00	-1030.00	-10.00	1.16	-0.12	1.52	50.00	-910.00	490.00	1.46	-0.91	1.16
40.00	-1030.00	280.00	1.89	-2.38	0.91	280.00	-720.00	-480.00	0.91	-1.22	-1.10	-170.00	-1030.00	-10.00	1.16	-0.12	1.52	50.00	-910.00	490.00	1.34	-0.55	0.85
