LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz	y	mass
1063.990476	162.701905	-47.536190	-23.118857	-34.313810	43.955238	1088.790476	-267.561905	-322.276190	-25.431524	32.865905	-51.552857	1012.214286	219.395238	-388.466667	-39.403333	7.781238	-40.918571	1089.619048	-161.380952	-43.267143	-7.424048	16.864762	54.570000	-0.002096	85.700000
1316.142857	399.742381	222.115238	-17.453048	-34.058095	35.443810	1257.257143	-734.486667	-391.166667	-14.622095	43.758381	-45.245238	1027.738095	195.038095	-392.209524	-44.091429	7.506238	-45.603333	1110.809524	-162.923810	-44.975238	-9.604667	17.090952	60.472381	-0.001884	85.700000
1461.076190	392.189524	327.888571	-12.256905	-35.125238	32.130000	1296.733333	-857.422381	-416.814286	1.795048	42.613143	-40.821905	1058.380952	163.576190	-387.890476	-46.510476	8.165810	-51.224762	1134.523810	-188.157143	-66.769048	-10.262667	17.148571	66.633333	-0.000218	85.700000
1428.523810	114.171905	143.117143	-13.487143	-41.028571	39.329524	1270.047619	-530.078095	-434.066667	11.442857	28.884286	-45.738571	1084.238095	160.400000	-376.390476	-46.710000	9.851381	-57.944286	1152.904762	-226.500000	-93.552381	-8.734905	17.533810	72.455714	0.001607	85.700000
1357.857143	-167.355238	-78.804762	-9.612952	-46.680952	53.328571	1261.142857	-104.012857	-490.119048	11.787429	15.879048	-61.383333	1116.380952	165.471429	-349.523810	-45.972857	11.620286	-65.113333	1161.238095	-257.442857	-138.355238	-5.895857	18.125238	77.580476	0.004055	85.700000
1293.885714	-207.803905	-221.995238	-5.094190	-58.168095	63.693810	1298.952381	132.234286	-457.698095	-0.233143	17.450000	-77.061429	1157.619048	175.823810	-324.847619	-44.807143	13.089381	-72.250952	1183.952381	-268.300000	-171.840000	-3.368943	18.317619	82.370000	0.007192	85.700000
1254.195238	-119.246048	-308.033333	-4.730667	-65.679048	67.432857	1337.619048	158.611905	-332.262381	-19.968667	27.081429	-85.891905	1197.857143	203.190476	-319.914286	-43.634762	13.714476	-79.001429	1222.428571	-281.028571	-184.709524	-1.317014	18.325238	87.181429	0.011255	85.700000
1170.704762	-44.690667	-330.319048	-6.353238	-71.298571	65.930000	1310.428571	109.758095	-204.267619	-38.529810	37.111905	-90.168095	1243.857143	238.442857	-328.423810	-44.240952	13.444762	-85.333333	1269.571429	-288.452381	-190.419048	-0.354219	18.411905	92.422381	0.014758	85.700000
1041.023810	-2.927286	-439.047619	-10.913952	-75.587143	61.862381	1204.809524	181.681905	-20.423333	-55.199810	41.400476	-91.638095	1291.095238	239.638095	-352.528571	-46.382381	12.900952	-90.656190	1329.333333	-275.990476	-187.719048	-0.636843	18.992857	97.983333	0.017962	85.700000
870.633333	5.025524	-631.704762	-19.601714	-76.440000	56.276667	1111.219048	342.031429	182.208571	-71.671905	41.111905	-90.024286	1326.571429	240.219048	-395.380952	-49.096667	11.925524	-96.402857	1389.000000	-250.176190	-174.800000	-1.045219	20.320952	104.060000	0.019397	85.700000
773.614286	-13.093190	-752.728571	-27.457048	-76.140476	47.469524	1047.123810	492.236190	284.944286	-81.969048	38.579524	-86.376190	1362.714286	227.004762	-413.661905	-53.063333	10.371524	-102.072381	1441.047619	-210.880952	-183.914286	-2.456348	22.360952	110.696667	0.020610	85.700000
826.480952	-51.982000	-779.366667	-30.643619	-74.697619	39.456667	1017.200000	488.523810	265.010952	-79.911905	34.443810	-78.274762	1410.809524	201.876190	-407.328571	-57.993810	8.204905	-107.610476	1487.380952	-177.885714	-224.742857	-5.104562	24.866190	117.759048	0.022563	85.700000
948.771429	-186.436667	-738.061905	-26.012714	-69.085238	34.048571	1010.542857	370.500000	131.793810	-64.831238	30.108095	-66.385714	1475.714286	195.582571	-388.261905	-62.497619	6.911238	-113.457143	1500.190476	-184.847619	-282.247619	-7.843857	27.222857	124.852381	0.024026	85.700000
1031.352381	-321.029524	-670.909524	-12.082095	-62.898571	28.920476	1047.619048	234.461905	-6.075952	-40.841714	26.490476	-54.654762	1557.523810	172.711524	-390.842857	-67.777143	8.460048	-118.633333	1532.571429	-193.438095	-340.085714	-9.877762	27.967619	131.938095	0.024864	85.700000
1053.828571	-368.307143	-625.395238	6.266048	-56.487619	23.095524	1068.866667	153.233333	-69.158248	-14.738190	22.647333	-47.417143	1611.190476	106.915643	-430.004762	-71.862857	12.180857	-122.033333	1601.190476	-161.678095	-342.776190	-10.905714	28.737619	137.380952	0.025578	85.700000
1013.485714	-298.188095	-596.519048	23.367905	-50.033333	17.410476	1049.500000	112.928571	-42.738581	9.223143	17.537333	-43.943810	1633.476190	41.212952	-486.285714	-73.775714	17.596524	-124.166667	1649.428571	-106.475714	-300.800000	-10.762476	29.607143	140.771429	0.025878	85.700000
946.104762	-153.942381	-552.271429	34.934905	-44.493810	11.562095	1010.371429	132.233333	-6.373352	25.094190	11.969238	-42.223810	1600.428571	32.801071	-522.704762	-73.361905	23.030762	-126.066667	1652.142857	-89.113333	-237.740000	-10.025524	31.008571	143.009524	0.025740	85.700000
929.709524	-41.654762	-464.171429	39.337524	-40.354762	7.418952	1000.252381	150.315238	-1.679229	31.498667	6.240190	-40.411905	1506.857143	40.021905	-514.133333	-73.549524	26.120952	-126.890476	1596.714286	-114.033810	-179.287048	-9.535857	34.832381	144.342857	0.025845	85.700000
