LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz	y	mass
364.466667	1070.604762	-771.685714	-53.955238	-11.508000	42.747143	1318.390476	-986.038095	488.083095	-91.478571	49.313952	-23.530952	1057.047619	217.033333	-406.357143	-61.229048	-12.260857	-46.556190	1154.190476	-157.790476	-30.365238	-27.821905	4.555238	63.653810	0.002185	66.300000
541.966667	1048.390476	-942.800000	-52.925010	-28.532333	36.193810	1427.000000	-1020.433333	660.522381	-78.653333	59.657333	-20.831905	1079.047619	201.419048	-415.819048	-63.041905	-12.869905	-48.130476	1171.809524	-175.790476	-28.780476	-28.924762	4.397048	65.898095	0.002719	66.300000
974.471429	895.533333	-959.195238	-43.998200	-40.242667	33.594286	1533.476190	-928.391429	680.661905	-50.318571	55.624810	-22.695714	1097.095238	184.680952	-420.228571	-64.431905	-13.215238	-50.002857	1191.047619	-181.455238	-33.152857	-29.645238	4.155667	67.929048	0.002633	66.300000
1610.480952	668.596190	-803.776190	-25.614971	-39.629381	37.277619	1650.142857	-680.034286	518.728571	-11.509048	35.640095	-31.022381	1113.761905	169.657143	-421.900000	-65.460476	-13.473810	-52.356667	1207.285714	-166.514762	-43.731905	-30.185238	3.910143	70.024286	0.001230	66.300000
2251.490476	395.839524	-500.938095	-2.433419	-26.219238	49.581429	1807.476190	-323.797143	187.095238	25.451905	2.948048	-46.723333	1127.428571	154.523810	-420.538095	-66.247143	-14.082381	-54.821429	1229.666667	-129.864286	-58.472857	-30.590952	3.737762	72.400476	-0.000444	66.300000
2717.923810	184.869048	-132.361905	19.812171	-4.999667	68.895714	2041.809524	29.064762	-299.309524	46.495714	-33.724667	-67.359048	1157.761905	150.099048	-414.519048	-67.665238	-14.698095	-57.376667	1259.476190	-85.394762	-58.310476	-31.237143	3.412762	74.789524	-0.002690	66.300000
2885.047619	48.126190	181.490476	33.570848	14.456476	90.055238	2274.190476	257.552381	-818.647619	48.629048	-62.587095	-89.035714	1193.333333	147.841429	-408.814286	-69.624762	-15.770952	-59.406667	1283.619048	-52.515714	-58.641905	-32.477619	2.868476	77.211429	-0.004609	66.300000
2680.238095	28.596667	343.338095	41.254514	28.853000	108.470952	2381.285714	268.693333	-1201.171429	38.193981	-73.627524	-108.309048	1205.857143	125.058476	-410.142857	-71.877143	-16.116667	-62.071429	1284.142857	-41.053552	-61.817619	-33.999524	2.240524	80.350476	-0.005846	66.300000
2218.504762	128.599524	404.428571	45.474762	34.586571	118.747143	2243.533333	53.435238	-1352.661905	23.127695	-61.668714	-121.308095	1192.000000	84.140238	-408.480952	-73.923333	-16.145238	-65.320952	1282.952381	-33.455290	-72.206190	-34.997619	1.745562	84.472857	-0.006325	66.300000
1685.728571	289.920476	412.714286	46.933810	33.210952	120.701905	1867.119048	-236.910476	-1216.249524	8.951200	-34.868762	-127.755238	1177.619048	39.276333	-399.952381	-75.471429	-16.674286	-69.054286	1286.714286	-25.259010	-75.174286	-35.884286	1.178824	88.569524	-0.005238	66.300000
1200.133333	401.102857	376.756190	46.957619	28.978571	117.133333	1376.880952	-440.397143	-868.580476	-0.865981	-9.333429	-128.909524	1172.952381	-0.614714	-390.114286	-76.152381	-18.148571	-72.893333	1290.619048	-9.583329	-89.635714	-36.635238	0.965029	92.533333	-0.003687	66.300000
838.585714	461.361905	294.884762	46.712381	24.287619	111.436190	946.400000	-470.044762	-470.165714	-6.638848	3.376952	-126.300000	1176.761905	-16.245524	-386.928571	-75.649048	-19.307619	-77.380476	1293.952381	6.327467	-99.819524	-36.005714	1.426176	96.627143	-0.001189	66.300000
577.800000	445.221905	137.802857	44.020476	17.334714	104.480000	664.628571	-320.950476	-121.986190	-7.647971	2.713286	-120.980952	1189.523810	-9.176810	-379.728571	-75.016667	-20.684286	-81.751905	1295.761905	20.764805	-105.249048	-35.172857	1.584600	100.404286	0.001213	66.300000
362.647619	368.136190	-98.284762	40.083810	10.157333	97.634286	539.952381	-47.000952	155.158095	-4.001648	-3.759905	-113.729524	1194.523810	2.567619	-373.404762	-75.350476	-21.541429	-86.261429	1286.619048	36.221543	-127.104286	-34.540000	2.429871	104.893333	0.003418	66.300000
211.119048	237.105714	-332.825714	34.180476	0.875857	90.368571	491.647619	228.401905	309.419524	0.499276	-7.914819	-105.148571	1205.000000	24.861524	-360.376190	-76.251429	-22.203810	-90.326190	1297.809524	61.537238	-148.206667	-34.264286	3.146848	109.844286	0.005317	66.300000
199.919048	56.192381	-502.043810	25.479524	-8.798762	83.952381	521.957143	459.791429	369.507619	2.810124	-8.252343	-96.771429	1246.476190	47.714524	-335.385714	-78.586667	-23.866667	-93.732857	1316.761905	80.182381	-153.309524	-35.503810	2.939276	113.404762	0.006600	66.300000
352.276190	-135.099048	-628.848571	18.190857	-15.830810	79.208095	640.757143	620.696190	367.247619	1.536914	-4.708543	-89.257619	1299.238095	53.059524	-328.576190	-81.605714	-25.167143	-96.427143	1336.714286	98.748571	-174.614286	-38.062381	2.365371	117.114286	0.007867	66.300000
614.242857	-276.606667	-683.685714	12.491857	-20.066000	75.910476	812.085714	700.014286	325.371429	-5.116400	3.609295	-82.548095	1340.761905	42.294762	-337.090476	-84.321905	-25.105714	-99.331429	1348.428571	109.583333	-195.533333	-40.481905	1.970314	121.271429	0.009101	66.300000
900.600000	-330.117143	-679.552381	7.094857	-22.110286	73.699524	989.914286	683.776190	264.208571	-14.298200	13.046648	-77.640952	1365.809524	15.581429	-340.671429	-86.997143	-24.433333	-102.602857	1364.333333	125.976190	-212.476190	-42.563810	1.442219	125.871429	0.010142	66.300000
1139.133333	-277.010000	-658.909524	6.286143	-21.553524	72.079048	1130.266667	590.928571	190.634762	-20.162057	20.779181	-73.590476	1388.952381	-20.662381	-332.176190	-89.236190	-23.535714	-106.026667	1391.095238	143.478571	-231.109524	-44.781905	1.005310	130.904762	0.010801	66.300000
1289.909524	-159.160000	-613.942857	10.779048	-17.323619	69.853333	1195.133333	452.057143	129.951905	-20.017286	23.986705	-69.478095	1419.952381	-37.709524	-323.314286	-90.613810	-22.780476	-109.566667	1426.142857	145.056667	-257.942857	-45.948095	1.409267	135.357143	0.011236	66.300000
1348.085714	-54.165714	-514.086667	18.115476	-9.408476	67.088095	1194.238095	307.040000	83.797619	-14.321390	20.302762	-65.733333	1456.904762	-18.598095	-314.866667	-92.443333	-21.949048	-113.628571	1449.476190	127.428095	-277.728571	-45.032381	2.707090	139.471429	0.011229	66.300000
1341.761905	-14.170952	-382.467619	25.105429	-0.632409	65.372381	1165.571429	195.250952	64.558095	-6.101486	10.999095	-63.240952	1486.952381	30.523810	-323.742857	-95.917143	-19.474095	-118.038095	1466.523810	104.120000	-269.952381	-44.530000	2.764610	143.785714	0.011324	66.300000
1304.333333	-17.640000	-240.330476	29.029810	4.358827	64.081905	1157.523810	124.972381	14.145238	-0.490029	0.913714	-63.244762	1515.904762	89.400476	-344.976190	-101.435714	-15.989714	-122.200000	1471.380952	92.784286	-243.114286	-45.765238	1.785376	147.600000	0.011613	66.300000
1263.952381	-10.586190	-144.870476	29.118095	4.654797	63.013333	1187.142857	79.710952	-66.107619	1.412333	-6.183381	-65.931429	1532.476190	123.972857	-376.095238	-108.499524	-12.396286	-125.847619	1471.428571	106.537143	-212.919048	-48.290952	0.190924	151.733333	0.012110	66.300000
1220.904762	48.818571	-144.463810	29.217143	2.967968	62.030952	1219.333333	71.667619	-138.067619	0.612771	-7.708076	-69.232381	1543.047619	120.650952	-400.447619	-115.468571	-8.806571	-128.276190	1473.523810	124.757619	-177.465714	-52.479524	-2.334952	155.561905	0.013006	66.300000
