LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz	y	mass
958.490476	-107.300000	-316.318095	0.549667	-38.326667	72.950000	974.104762	-122.546667	-335.719048	-44.071857	12.490732	-63.189524	600.333333	-174.084714	-295.000952	-59.935238	6.127354	-71.380571	637.795238	340.138095	202.319048	-24.699905	19.418381	76.860000	0.009024	88.700000
966.947619	-123.222857	-396.168571	12.508286	-32.789048	59.513333	942.047619	-207.535619	-199.947619	-29.549667	8.726378	-60.030476	462.347619	-385.227714	-160.040000	-61.792667	0.540549	-41.875095	441.314286	481.120000	190.003333	-41.569762	18.709952	55.697714	0.009547	88.700000
946.742857	-66.373333	-415.342857	26.146524	-26.868095	46.379048	967.004762	-201.709667	-211.685714	-12.784810	3.421041	-59.904762	507.314286	-511.228143	-115.948571	-53.794095	-4.537869	-17.065429	341.352381	377.236667	124.660000	-50.372190	3.401905	38.454381	0.010124	88.700000
946.957143	52.913810	-378.209524	33.936286	-21.455619	37.603333	958.509524	-118.109333	-230.833333	-0.976333	2.050532	-58.120000	554.980952	-631.019333	-85.207619	-37.575810	-3.854802	5.223667	416.295238	203.568095	-84.086667	-42.210381	-12.670524	17.862095	0.010753	88.700000
930.885714	137.673810	-339.566667	31.340000	-17.613238	34.098571	957.385714	-59.289857	-216.333333	-0.197190	1.929470	-52.645714	547.680952	-603.057143	-106.764762	-8.107810	-5.220048	25.310762	498.609524	43.038095	-219.207619	-23.136476	-9.901381	-9.489619	0.011141	88.700000
925.571429	150.354762	-344.957143	24.428571	-14.282810	33.822857	962.333333	-56.820762	-198.266667	-4.056905	3.170911	-46.184286	587.109524	-531.738095	-107.738095	22.972286	-7.630619	44.100143	533.533333	-8.309524	-217.525714	2.954667	-7.012095	-39.811238	0.011589	88.700000
930.838095	148.416667	-369.600000	18.900000	-9.154238	34.348571	940.523810	-101.825857	-166.585714	-7.416762	2.834156	-41.035238	613.400000	-425.257143	-127.798095	50.170190	-9.383429	63.388952	560.438095	7.454286	-216.066667	23.719238	-0.437381	-70.048952	0.011706	88.700000
924.161905	128.244762	-370.642857	16.371429	-2.739333	34.574286	931.766667	-146.600381	-161.833333	-8.794381	1.169481	-38.990000	633.795238	-327.698095	-134.337143	69.034000	-9.696048	82.895238	568.538095	82.005714	-165.262381	36.373905	6.333571	-98.241810	0.011848	88.700000
919.438095	128.235714	-342.652381	16.587143	1.478714	34.200952	927.209524	-168.470476	-178.671429	-7.304952	-0.195985	-38.338095	687.828571	-227.034286	-118.444762	78.526190	-8.576333	102.434286	571.452381	174.230952	-109.322381	38.154667	10.035171	-122.754762	0.012037	88.700000
921.761905	134.588095	-312.861905	16.339048	3.472810	34.397619	922.152381	-169.604762	-202.214286	-6.627190	-0.836868	-38.364762	743.085714	-114.796667	-101.363810	79.118571	-5.666381	121.614762	592.880952	231.398571	-79.655238	30.285048	8.723052	-142.076667	0.012235	88.700000
911.371429	117.820952	-280.047619	15.790952	2.298619	34.841429	928.285714	-169.219048	-220.347619	-7.330238	-0.316427	-38.667143	800.676190	-16.040952	-83.015238	71.126190	-1.911238	140.666667	643.171429	239.864762	-75.813810	14.646286	4.909248	-156.619048	0.012509	88.700000
909.804762	106.380952	-271.504762	15.846667	-1.327238	35.531905	926.314286	-161.628571	-229.304762	-7.528429	0.345501	-39.440476	849.214286	63.147143	-77.703810	58.800476	2.568571	158.795238	699.076190	193.490952	-94.640952	-4.299333	0.624233	-168.338095	0.012670	88.700000
914.600000	98.462857	-286.461905	15.055238	-4.725143	36.178571	935.804762	-136.566667	-227.990476	-8.813286	0.799045	-40.308095	885.857143	109.115238	-82.568571	44.986667	6.731000	176.161905	758.990476	123.480476	-120.827143	-23.177524	-2.273514	-178.690476	0.013145	88.700000
913.166667	93.182381	-303.614286	14.420952	-6.919476	36.713333	943.890476	-120.682857	-210.552381	-10.216810	1.031537	-40.695714	919.976190	118.506190	-94.527619	32.762381	9.594286	192.519048	823.857143	53.875238	-151.724286	-39.429714	-4.246710	-189.342857	0.013440	88.700000
905.342857	96.142381	-318.852381	13.653810	-9.010476	37.270476	944.347619	-112.589524	-188.376190	-12.259857	1.488249	-41.083810	955.771429	119.468571	-102.594286	24.260476	11.247333	207.290476	893.109524	-9.441429	-184.365714	-52.236857	-3.793257	-200.371429	0.013499	88.700000
906.128571	93.394286	-332.742857	12.725714	-11.254095	37.705714	942.476190	-104.990476	-183.128571	-14.053048	1.963419	-41.470000	998.576190	121.052381	-111.096190	19.742381	11.331333	220.295238	958.904762	-70.279048	-225.333333	-60.634762	-2.091048	-211.133333	0.013873	88.700000
921.571429	97.888571	-344.980952	12.748095	-11.716048	38.639524	941.880952	-97.636667	-185.204762	-15.794762	2.609524	-41.710000	1055.580952	125.571429	-117.321905	18.577143	10.245857	231.757143	1029.419048	-122.294762	-267.728571	-64.924762	0.519524	-221.880952	0.014058	88.700000
931.704762	97.500000	-345.133333	12.931238	-9.842105	40.266667	940.428571	-88.484286	-188.838095	-17.811905	2.634819	-42.009524	1117.447619	140.395238	-128.471429	19.686667	8.531400	241.642857	1099.904762	-168.336667	-302.600000	-66.461429	4.429048	-232.057143	0.014171	88.700000
937.685714	89.590286	-346.057143	12.512000	-6.699010	42.052857	946.666667	-74.175714	-187.357143	-19.866190	1.986114	-42.315714	1170.666667	154.333333	-139.571429	22.130000	6.212400	249.947619	1161.447619	-213.600000	-318.061905	-65.867619	9.078476	-241.376190	0.014416	88.700000
943.580952	71.354333	-334.047619	10.834048	-3.210448	44.179048	950.747619	-59.750476	-187.861905	-21.449524	0.429467	-42.399048	1216.095238	164.466667	-151.500000	25.496667	2.906181	256.542857	1218.000000	-255.461905	-323.004762	-63.956190	13.154571	-249.190476	0.014448	88.700000
943.842857	35.197238	-324.519048	8.457048	0.293914	46.136190	957.747619	-49.630476	-204.100000	-23.205714	-1.369743	-42.407619	1254.238095	173.752381	-154.638095	30.035714	-0.641448	261.009524	1265.000000	-302.071429	-332.676190	-60.792381	17.501619	-255.652381	0.014452	88.700000
950.242857	-8.297190	-318.842857	7.308333	2.417600	46.663333	967.552381	-47.488095	-228.480952	-22.425524	-3.329990	-42.130476	1285.666667	179.190476	-153.114286	35.739048	-4.533819	263.933333	1298.428571	-353.204762	-362.242857	-55.609524	21.953429	-261.190476	0.014519	88.700000
968.085714	-47.886095	-313.190476	9.065048	3.825181	45.977143	978.509524	-59.068571	-260.328571	-19.314286	-4.773705	-42.114762	1320.333333	189.633333	-146.928571	44.176667	-8.570886	265.480952	1315.904762	-396.757143	-398.719048	-47.313810	27.033333	-266.280952	0.014931	88.700000
971.642857	-77.052810	-295.271429	13.448143	4.825038	43.792381	982.100000	-68.687619	-293.700000	-14.071333	-5.136571	-42.672381	1357.809524	209.514286	-146.738095	54.240000	-12.339029	266.252381	1322.952381	-416.242857	-420.228571	-36.904381	31.842381	-270.504762	0.015443	88.700000
