LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
110.00	-930.00	-360.00	1.10	-0.73	2.50	160.00	-920.00	50.00	-1.77	0.55	0.55	60.00	-1030.00	-60.00	-0.12	-1.77	6.22	-160.00	-980.00	280.00	-0.43	-0.18	7.99
110.00	-930.00	-360.00	0.67	-0.18	2.99	160.00	-920.00	50.00	-1.52	0.49	0.85	70.00	-1040.00	-60.00	0.30	-1.95	6.59	-160.00	-980.00	280.00	-0.12	-0.24	8.17
110.00	-930.00	-350.00	1.22	-0.55	1.71	150.00	-920.00	50.00	-1.28	0.00	1.16	60.00	-1030.00	-60.00	0.67	-2.01	6.89	-170.00	-960.00	280.00	-0.12	-0.37	8.17
100.00	-940.00	-350.00	1.22	-0.55	1.71	160.00	-910.00	50.00	-1.10	-0.43	1.46	60.00	-1030.00	-60.00	0.91	-2.13	7.07	-170.00	-970.00	280.00	0.24	-0.37	8.17
110.00	-940.00	-350.00	1.22	-0.55	1.71	170.00	-910.00	50.00	-0.79	-0.61	1.59	60.00	-1030.00	-70.00	1.10	-2.13	7.20	-170.00	-960.00	280.00	0.00	0.24	8.17
100.00	-940.00	-350.00	2.07	-0.79	1.46	170.00	-920.00	50.00	-0.85	-0.85	1.71	60.00	-1020.00	-60.00	1.28	-2.50	7.20	-170.00	-970.00	280.00	0.12	0.43	7.99
100.00	-940.00	-350.00	2.07	-0.79	1.46	170.00	-910.00	50.00	-0.79	-0.67	1.65	50.00	-1020.00	-60.00	1.34	-2.44	7.20	-170.00	-960.00	280.00	0.37	0.49	7.68
100.00	-940.00	-350.00	2.07	-0.79	1.46	170.00	-910.00	60.00	-0.61	-0.12	1.46	50.00	-1030.00	-60.00	1.46	-2.44	7.13	-180.00	-960.00	280.00	0.37	0.30	7.50
100.00	-930.00	-360.00	2.07	-0.79	1.46	160.00	-910.00	50.00	-0.24	0.12	1.10	40.00	-1020.00	-60.00	1.59	-2.32	6.89	-180.00	-950.00	290.00	0.49	0.18	7.44
100.00	-930.00	-360.00	1.95	-0.43	1.95	160.00	-910.00	50.00	-0.06	0.30	0.98	50.00	-1020.00	-70.00	1.71	-2.13	6.77	-180.00	-960.00	270.00	0.18	0.30	7.50
100.00	-930.00	-360.00	1.95	-0.43	1.95	160.00	-910.00	50.00	0.00	0.37	0.91	30.00	-1010.00	-60.00	1.59	-2.01	6.52	-180.00	-960.00	270.00	-0.12	0.37	7.32
90.00	-940.00	-350.00	1.95	-0.43	1.95	170.00	-910.00	50.00	0.18	0.24	0.85	30.00	-1010.00	-60.00	1.71	-2.13	6.40	-180.00	-960.00	270.00	-0.12	0.49	7.07
100.00	-930.00	-360.00	1.16	-0.24	2.87	160.00	-920.00	60.00	0.30	0.18	0.73	30.00	-1010.00	-60.00	1.83	-2.32	6.34	-190.00	-960.00	280.00	-0.24	0.61	6.83
100.00	-930.00	-360.00	1.16	-0.24	2.87	160.00	-920.00	50.00	0.24	0.06	0.85	20.00	-1020.00	-70.00	1.77	-2.26	6.28	-180.00	-960.00	280.00	-0.43	1.04	6.28
100.00	-930.00	-360.00	1.16	-0.24	2.87	160.00	-910.00	60.00	0.30	-0.18	0.79	30.00	-1020.00	-70.00	1.65	-2.26	6.04	-180.00	-960.00	280.00	-0.61	1.46	5.79
100.00	-940.00	-350.00	1.16	-0.24	2.87	160.00	-910.00	60.00	0.30	-0.43	0.98	30.00	-1010.00	-70.00	1.65	-2.20	5.61	-190.00	-960.00	280.00	-0.55	1.59	5.30
100.00	-940.00	-350.00	0.30	0.30	3.23	150.00	-910.00	40.00	0.43	-0.91	1.28	30.00	-1020.00	-60.00	1.46	-1.83	5.12	-190.00	-960.00	280.00	-0.55	1.40	4.82
100.00	-940.00	-350.00	0.30	0.30	3.23	160.00	-910.00	50.00	0.12	-1.16	1.52	40.00	-1020.00	-60.00	1.22	-1.40	4.76	-190.00	-950.00	280.00	-0.73	1.22	4.27
100.00	-940.00	-350.00	0.30	0.30	3.23	160.00	-910.00	60.00	-0.06	-0.73	1.71	30.00	-1020.00	-60.00	1.10	-1.22	4.33	-190.00	-950.00	280.00	-0.49	1.22	3.84
100.00	-940.00	-350.00	-0.55	0.00	3.29	150.00	-910.00	50.00	-0.12	-0.61	1.89	30.00	-1030.00	-60.00	0.79	-0.85	4.02	-200.00	-950.00	280.00	-0.55	1.16	3.35
100.00	-940.00	-350.00	-0.55	0.00	3.29	160.00	-910.00	60.00	-0.61	-0.55	2.07	20.00	-1020.00	-50.00	0.85	-1.10	3.41	-200.00	-940.00	280.00	-0.73	1.22	2.93
100.00	-940.00	-350.00	-0.55	0.00	3.29	160.00	-910.00	60.00	-0.98	-0.49	2.26	20.00	-1020.00	-60.00	0.43	-0.61	3.05	-210.00	-940.00	280.00	-0.73	0.55	2.50
90.00	-940.00	-350.00	-0.79	0.00	3.41	160.00	-910.00	50.00	-1.10	-0.55	2.38	10.00	-1020.00	-50.00	0.37	-0.49	2.74	-210.00	-940.00	280.00	-1.16	0.43	2.01
90.00	-940.00	-350.00	-1.52	0.24	3.72	160.00	-910.00	60.00	-1.28	-0.49	2.26	10.00	-1010.00	-50.00	0.06	-0.37	2.50	-200.00	-930.00	290.00	-1.04	0.43	1.46
90.00	-940.00	-350.00	-1.52	0.24	3.72	160.00	-910.00	50.00	-1.40	-0.37	2.32	10.00	-1020.00	-50.00	0.12	-0.55	2.07	-210.00	-940.00	280.00	-0.85	0.67	0.98
100.00	-940.00	-350.00	-2.20	0.91	4.21	160.00	-910.00	50.00	-1.65	-0.55	2.32	10.00	-1010.00	-50.00	-0.12	-0.73	1.59	-210.00	-940.00	280.00	-0.98	0.85	0.55
100.00	-940.00	-340.00	-1.89	0.85	4.39	160.00	-910.00	60.00	-1.83	-0.79	2.50	-10.00	-1010.00	-50.00	-0.24	-0.55	1.10	-210.00	-940.00	280.00	-1.10	0.91	0.24
