LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
-130.00	-1040.00	-80.00	-4.33	-3.54	13.60	260.00	-830.00	-300.00	-3.66	0.61	6.59	-220.00	-960.00	-50.00	-12.93	3.41	4.63	-50.00	-960.00	310.00	-8.54	3.90	2.74
-400.00	-980.00	-40.00	-3.41	0.43	0.30	80.00	-870.00	-330.00	-5.61	-1.89	1.83	100.00	-980.00	-20.00	-2.26	-0.98	1.34	140.00	-990.00	190.00	-1.04	-1.77	4.33
-400.00	-990.00	-40.00	-2.80	0.24	-0.49	110.00	-870.00	-340.00	-5.67	-1.34	1.28	120.00	-990.00	-10.00	-3.29	-0.91	3.35	130.00	-990.00	200.00	-0.30	-2.07	4.76
-400.00	-990.00	-60.00	-2.13	-0.24	-0.73	110.00	-880.00	-330.00	-5.30	-1.04	1.04	120.00	-980.00	-20.00	-4.70	0.12	4.88	150.00	-990.00	220.00	-0.67	-1.77	4.63
-410.00	-990.00	-60.00	-1.77	-0.67	-0.18	90.00	-880.00	-350.00	-3.96	-0.98	0.55	110.00	-990.00	-30.00	-5.43	0.85	5.55	150.00	-970.00	250.00	-1.10	-1.65	4.15
-410.00	-990.00	-70.00	-1.77	-0.73	0.49	70.00	-870.00	-310.00	-3.84	-0.18	0.79	120.00	-980.00	-20.00	-5.55	0.73	5.61	150.00	-970.00	250.00	-0.24	-1.40	3.48
-410.00	-980.00	-60.00	-1.71	-0.98	0.18	70.00	-860.00	-320.00	-4.02	0.55	0.91	120.00	-1000.00	-10.00	-4.82	0.79	5.30	140.00	-990.00	230.00	0.18	-1.04	2.68
-410.00	-980.00	-60.00	-1.71	-1.16	-1.52	60.00	-840.00	-340.00	-3.17	0.49	0.67	120.00	-1010.00	20.00	-4.39	0.61	4.94	150.00	-980.00	230.00	1.28	-0.67	2.01
-410.00	-980.00	-60.00	-1.52	-1.46	-2.68	60.00	-840.00	-340.00	-3.23	0.61	0.55	110.00	-1000.00	40.00	-3.60	-0.12	4.51	130.00	-980.00	220.00	2.44	-0.24	1.34
-400.00	-990.00	-70.00	-1.34	-1.40	-2.44	90.00	-840.00	-360.00	-2.74	0.67	0.30	100.00	-1000.00	20.00	-2.44	-1.10	3.23	120.00	-990.00	200.00	2.13	0.30	0.12
-380.00	-1010.00	-50.00	-1.04	-1.34	-1.52	70.00	-840.00	-370.00	-1.71	0.67	0.00	110.00	-1000.00	10.00	-0.98	-1.52	1.83	120.00	-990.00	180.00	2.07	0.61	-0.98
-400.00	-1000.00	-40.00	-0.18	-1.95	-0.98	70.00	-840.00	-370.00	0.06	-0.61	-0.43	110.00	-1000.00	0.00	0.67	-1.28	0.73	120.00	-1000.00	180.00	2.74	0.85	-1.46
