LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
70.00	-1010.00	310.00	0.00	-1.10	0.79	210.00	-870.00	-190.00	-0.55	0.06	0.67	-50.00	-1030.00	-40.00	-0.06	-0.18	-0.49	-10.00	-980.00	360.00	-1.16	0.30	-0.61
70.00	-1010.00	300.00	0.06	-1.16	0.91	210.00	-870.00	-190.00	-0.55	0.06	0.61	-50.00	-1030.00	-40.00	-0.06	-0.18	-0.49	-10.00	-980.00	360.00	-1.16	0.30	-0.61
70.00	-1010.00	300.00	0.06	-1.16	0.91	210.00	-870.00	-190.00	-0.49	-0.06	0.43	-50.00	-1030.00	-40.00	0.00	-0.12	-0.55	-10.00	-980.00	360.00	-1.16	0.30	-0.61
70.00	-1010.00	300.00	0.06	-1.16	0.91	210.00	-870.00	-190.00	-0.49	-0.06	0.43	-50.00	-1030.00	-40.00	-0.06	-0.06	-0.43	-10.00	-990.00	370.00	-0.98	0.24	-0.67
70.00	-1020.00	300.00	0.18	-0.91	1.04	210.00	-870.00	-190.00	-0.61	-0.12	0.37	-50.00	-1030.00	-40.00	-0.06	-0.06	-0.43	-10.00	-990.00	360.00	-0.98	0.24	-0.67
70.00	-1020.00	300.00	0.43	-1.04	0.98	210.00	-870.00	-190.00	-0.55	-0.30	0.30	-50.00	-1030.00	-30.00	-0.12	-0.18	-0.43	-10.00	-990.00	370.00	-0.98	0.24	-0.67
70.00	-1010.00	300.00	0.30	-0.91	0.91	210.00	-870.00	-190.00	-0.55	-0.30	0.30	-50.00	-1030.00	-30.00	-0.24	-0.30	-0.43	-10.00	-990.00	360.00	-0.85	0.00	-0.37
70.00	-1010.00	300.00	0.43	-0.91	1.04	210.00	-870.00	-190.00	-0.67	-0.30	0.37	-50.00	-1030.00	-30.00	-0.24	-0.30	-0.43	-10.00	-980.00	360.00	-0.85	-0.06	-0.37
60.00	-1010.00	300.00	0.43	-0.91	1.04	210.00	-870.00	-190.00	-0.67	-0.30	0.37	-50.00	-1030.00	-40.00	-0.24	-0.37	-0.43	-10.00	-980.00	360.00	-0.85	-0.06	-0.37
70.00	-1010.00	300.00	0.43	-0.91	1.04	210.00	-870.00	-190.00	-0.61	-0.18	0.30	-50.00	-1030.00	-40.00	-0.24	-0.49	-0.49	-10.00	-990.00	370.00	-0.85	-0.06	-0.24
70.00	-1010.00	300.00	0.37	-0.85	1.04	210.00	-870.00	-190.00	-0.61	-0.18	0.30	-50.00	-1030.00	-40.00	-0.24	-0.49	-0.49	-10.00	-990.00	370.00	-0.85	-0.30	0.12
70.00	-1020.00	300.00	0.43	-0.79	1.04	210.00	-870.00	-190.00	-0.67	-0.18	0.37	-50.00	-1030.00	-40.00	-0.18	-0.37	-0.49	-10.00	-990.00	370.00	-0.85	-0.30	0.12
70.00	-1020.00	300.00	0.43	-0.79	1.04	210.00	-870.00	-190.00	-0.67	-0.18	0.37	-50.00	-1030.00	-40.00	-0.18	-0.37	-0.49	-10.00	-990.00	370.00	-0.79	-0.30	0.12
70.00	-1020.00	310.00	0.49	-0.85	1.04	210.00	-870.00	-190.00	-0.67	-0.24	0.37	-50.00	-1030.00	-40.00	-0.18	0.18	-0.30	-10.00	-990.00	370.00	-0.79	-0.30	0.12
70.00	-1020.00	310.00	0.37	-0.73	1.16	210.00	-870.00	-190.00	-0.79	-0.06	0.30	-50.00	-1030.00	-40.00	-0.37	0.37	-0.06	-0.00	-990.00	360.00	-0.79	-0.18	0.12
70.00	-1010.00	310.00	0.37	-0.73	1.16	210.00	-870.00	-200.00	-0.79	-0.06	0.30	-50.00	-1030.00	-40.00	-0.37	0.37	-0.06	-0.00	-990.00	360.00	-0.67	-0.24	0.12
70.00	-1010.00	300.00	0.37	-0.79	1.16	210.00	-870.00	-200.00	-0.79	-0.06	0.30	-50.00	-1030.00	-40.00	-0.43	0.18	0.12	-0.00	-990.00	360.00	-0.67	-0.24	0.12
70.00	-1020.00	300.00	0.49	-0.98	1.28	210.00	-860.00	-190.00	-0.67	-0.18	0.30	-50.00	-1030.00	-40.00	-0.43	0.18	0.12	-0.00	-990.00	360.00	-0.67	-0.12	0.18
70.00	-1020.00	300.00	0.49	-0.91	1.28	210.00	-870.00	-190.00	-0.73	-0.24	0.30	-50.00	-1030.00	-40.00	-0.49	0.18	0.12	-0.00	-990.00	360.00	-0.67	-0.12	0.18
70.00	-1010.00	300.00	0.43	-0.79	1.22	210.00	-870.00	-190.00	-0.73	-0.24	0.30	-50.00	-1030.00	-40.00	-0.49	0.18	0.12	-10.00	-990.00	360.00	-0.61	-0.12	0.24
70.00	-1010.00	300.00	0.43	-0.79	1.22	210.00	-870.00	-190.00	-0.67	-0.06	0.37	-50.00	-1030.00	-40.00	-0.49	0.18	-0.06	-10.00	-990.00	370.00	-0.61	-0.12	0.24
70.00	-1010.00	300.00	0.43	-0.79	1.04	210.00	-870.00	-190.00	-0.67	-0.06	0.37	-50.00	-1030.00	-40.00	-0.55	0.18	-0.18	-10.00	-990.00	370.00	-0.79	-0.43	0.55
70.00	-1010.00	300.00	0.43	-0.67	1.04	210.00	-870.00	-190.00	-0.67	-0.12	0.37	-50.00	-1030.00	-40.00	-0.49	-0.24	-0.30	-10.00	-980.00	370.00	-0.79	-0.43	0.55
70.00	-1020.00	300.00	0.43	-0.67	1.04	210.00	-870.00	-190.00	-0.67	-0.12	0.37	-50.00	-1030.00	-40.00	-0.55	-0.24	-0.37	-0.00	-990.00	360.00	-0.55	-0.49	0.49
70.00	-1020.00	300.00	0.43	-0.67	1.04	210.00	-870.00	-190.00	-0.55	-0.18	0.37	-50.00	-1030.00	-40.00	-0.55	-0.24	-0.37	-0.00	-990.00	360.00	-0.61	-0.55	0.67
70.00	-1010.00	300.00	0.43	-0.73	0.91	210.00	-870.00	-190.00	-0.55	0.00	0.49	-50.00	-1030.00	-40.00	-0.43	-0.30	-0.43	-0.00	-990.00	360.00	-0.61	-0.55	0.67
70.00	-1010.00	300.00	0.37	-0.67	0.91	210.00	-870.00	-190.00	-0.55	0.00	0.49	-50.00	-1030.00	-40.00	-0.06	-1.04	-1.16	-10.00	-990.00	370.00	-0.55	-0.61	0.67
70.00	-1010.00	300.00	0.37	-0.67	0.91	210.00	-870.00	-190.00	-0.55	0.00	0.49	-50.00	-1030.00	-40.00	-0.06	-1.04	-1.16	-0.00	-980.00	360.00	-0.55	-0.61	0.67
70.00	-1010.00	300.00	0.18	-0.73	0.91	210.00	-870.00	-190.00	-0.43	0.18	0.49	-50.00	-1030.00	-40.00	-0.06	-1.16	-1.10	-0.00	-980.00	360.00	-0.67	-0.55	0.61
70.00	-1010.00	300.00	0.06	-0.79	0.98	210.00	-870.00	-190.00	-0.43	0.18	0.49	-50.00	-1030.00	-40.00	-0.06	-1.28	-1.04	-0.00	-980.00	360.00	-0.67	-0.55	0.61
