kamy	mass
-0.006279	67.700000
-0.007131	67.700000
-0.007857	67.700000
-0.008439	67.700000
-0.008455	67.700000
-0.007837	67.700000
-0.007307	67.700000
-0.006875	67.700000
-0.005861	67.700000
-0.004202	67.700000
-0.002322	67.700000
-0.000197	67.700000
0.001554	67.700000
0.002897	67.700000
0.004249	67.700000
0.005611	67.700000
0.006828	67.700000
0.007890	67.700000
0.008613	67.700000
0.008974	67.700000
0.009253	67.700000
0.009445	67.700000
0.009787	67.700000
0.010286	67.700000
0.010750	67.700000
0.011180	67.700000
0.011450	67.700000
0.011555	67.700000
0.011585	67.700000
0.011538	67.700000
0.011501	67.700000
0.011475	67.700000
0.011600	67.700000
0.011876	67.700000
0.012156	67.700000
0.012439	67.700000
0.012940	67.700000
0.013658	67.700000
0.014522	67.700000
0.015531	67.700000
0.016500	67.700000
0.017430	67.700000
0.018224	67.700000
0.018885	67.700000
0.019344	67.700000
0.019608	67.700000
0.019764	67.700000
0.019816	67.700000
0.019821	67.700000
0.019781	67.700000
0.019746	67.700000
0.019714	67.700000
0.019781	67.700000
0.019941	67.700000
0.020020	67.700000
0.020023	67.700000
0.020033	67.700000
0.020047	67.700000
0.020011	67.700000
0.019929	67.700000
0.019898	67.700000
0.019914	67.700000
0.019954	67.700000
0.020017	67.700000
0.020031	67.700000
0.020001	67.700000
0.019952	67.700000
0.019887	67.700000
0.019813	67.700000
0.019731	67.700000
0.019636	67.700000
0.019529	67.700000
0.019369	67.700000
0.019164	67.700000
0.018899	67.700000
0.018581	67.700000
0.018456	67.700000
0.018498	67.700000
0.018525	67.700000
0.018539	67.700000
0.018636	67.700000
0.018801	67.700000
0.018894	67.700000
0.018925	67.700000
0.019039	67.700000
0.019222	67.700000
0.019378	67.700000
0.019512	67.700000
0.019669	67.700000
0.019843	67.700000
0.019898	67.700000
0.019855	67.700000
0.019840	67.700000
0.019848	67.700000
0.019813	67.700000
0.019742	67.700000
0.019685	67.700000
0.019639	67.700000
0.019623	67.700000
0.019631	67.700000
0.019737	67.700000
0.019920	67.700000
0.020088	67.700000
0.020245	67.700000
0.020349	67.700000
0.020412	67.700000
0.020491	67.700000
0.020581	67.700000
0.020744	67.700000
0.020962	67.700000
0.021082	67.700000
0.021128	67.700000
0.021131	67.700000
0.021100	67.700000
0.021083	67.700000
0.021077	67.700000
0.021108	67.700000
0.021169	67.700000
0.021278	67.700000
0.021423	67.700000
0.021515	67.700000
0.021569	67.700000
0.021576	67.700000
0.021549	67.700000
0.021549	67.700000
0.021569	67.700000
0.021479	67.700000
0.021312	67.700000
0.021149	67.700000
0.020990	67.700000
0.020764	67.700000
0.020493	67.700000
0.020209	67.700000
0.019917	67.700000
0.019616	67.700000
0.019310	67.700000
0.018965	67.700000
0.018594	67.700000
0.018232	67.700000
0.017874	67.700000
0.017599	67.700000
0.017379	67.700000
0.017134	67.700000
0.016871	67.700000
0.016579	67.700000
0.016267	67.700000
0.015765	67.700000
0.015137	67.700000
0.014634	67.700000
0.014214	67.700000
0.013693	67.700000
0.013108	67.700000
0.012606	67.700000
0.012158	67.700000
0.011497	67.700000
0.010700	67.700000
0.010124	67.700000
0.009689	67.700000
0.009110	67.700000
0.008440	67.700000
0.007624	67.700000
0.006717	67.700000
0.005825	67.700000
0.004943	67.700000
0.003983	67.700000
0.002975	67.700000
0.002243	67.700000
0.001679	67.700000
0.001406	67.700000
0.001310	67.700000
0.001107	67.700000
0.000839	67.700000
0.000363	67.700000
-0.000237	67.700000
