kamy	mass
-0.004265	67.700000
-0.005120	67.700000
-0.005628	67.700000
-0.005715	67.700000
-0.005564	67.700000
-0.005128	67.700000
-0.004965	67.700000
-0.005131	67.700000
-0.004835	67.700000
-0.003990	67.700000
-0.003069	67.700000
-0.002057	67.700000
-0.001199	67.700000
-0.000521	67.700000
0.000208	67.700000
0.000998	67.700000
0.001736	67.700000
0.002415	67.700000
0.002996	67.700000
0.003465	67.700000
0.003920	67.700000
0.004359	67.700000
0.004891	67.700000
0.005527	67.700000
0.005867	67.700000
0.005876	67.700000
0.005922	67.700000
0.006009	67.700000
0.006336	67.700000
0.006930	67.700000
0.007286	67.700000
0.007380	67.700000
0.007598	67.700000
0.007950	67.700000
0.008382	67.700000
0.008902	67.700000
0.009354	67.700000
0.009733	67.700000
0.010242	67.700000
0.010889	67.700000
0.011643	67.700000
0.012510	67.700000
0.013302	67.700000
0.014016	67.700000
0.014651	67.700000
0.015202	67.700000
0.015559	67.700000
0.015715	67.700000
0.015944	67.700000
0.016247	67.700000
0.016533	67.700000
0.016800	67.700000
0.017168	67.700000
0.017638	67.700000
0.018077	67.700000
0.018484	67.700000
0.018819	67.700000
0.019080	67.700000
0.019291	67.700000
0.019452	67.700000
0.019685	67.700000
0.019990	67.700000
0.020302	67.700000
0.020622	67.700000
0.020982	67.700000
0.021383	67.700000
0.021744	67.700000
0.022065	67.700000
0.022397	67.700000
0.022738	67.700000
0.022983	67.700000
0.023135	67.700000
0.023277	67.700000
0.023411	67.700000
0.023442	67.700000
0.023379	67.700000
0.023373	67.700000
0.023420	67.700000
0.023398	67.700000
0.023314	67.700000
0.023239	67.700000
0.023171	67.700000
0.023066	67.700000
0.022926	67.700000
0.022876	67.700000
0.022907	67.700000
0.022968	67.700000
0.023057	67.700000
0.023143	67.700000
0.023228	67.700000
0.023338	67.700000
0.023472	67.700000
0.023538	67.700000
0.023545	67.700000
0.023596	67.700000
0.023685	67.700000
0.023698	67.700000
0.023643	67.700000
0.023635	67.700000
0.023667	67.700000
0.023747	67.700000
0.023867	67.700000
0.023935	67.700000
0.023958	67.700000
0.024022	67.700000
0.024119	67.700000
0.024127	67.700000
0.024062	67.700000
0.024102	67.700000
0.024229	67.700000
0.024324	67.700000
0.024393	67.700000
0.024482	67.700000
0.024588	67.700000
0.024677	67.700000
0.024752	67.700000
0.024987	67.700000
0.025351	67.700000
0.025572	67.700000
0.025679	67.700000
0.025799	67.700000
0.025929	67.700000
0.026009	67.700000
0.026049	67.700000
0.026195	67.700000
0.026423	67.700000
0.026612	67.700000
0.026771	67.700000
0.026947	67.700000
0.027138	67.700000
0.027267	67.700000
0.027350	67.700000
0.027493	67.700000
0.027680	67.700000
0.027706	67.700000
0.027609	67.700000
0.027515	67.700000
0.027425	67.700000
0.027303	67.700000
0.027158	67.700000
0.027046	67.700000
0.026959	67.700000
0.026794	67.700000
0.026573	67.700000
0.026349	67.700000
0.026123	67.700000
0.025837	67.700000
0.025508	67.700000
0.025195	67.700000
0.024893	67.700000
0.024526	67.700000
0.024112	67.700000
0.023736	67.700000
0.023388	67.700000
0.022899	67.700000
0.022313	67.700000
0.021820	67.700000
0.021393	67.700000
0.020831	67.700000
0.020175	67.700000
0.019405	67.700000
0.018559	67.700000
0.017750	67.700000
0.016967	67.700000
0.016230	67.700000
0.015524	67.700000
0.014646	67.700000
0.013653	67.700000
0.012768	67.700000
0.011956	67.700000
0.011097	67.700000
0.010207	67.700000
0.009615	67.700000
0.009219	67.700000
0.008866	67.700000
0.008542	67.700000
0.008131	67.700000
0.007665	67.700000
0.007204	67.700000
0.006748	67.700000
0.006422	67.700000
0.006181	67.700000
0.005789	67.700000
0.005302	67.700000
0.004858	67.700000
0.004439	67.700000
0.003876	67.700000
0.003224	67.700000
0.002671	67.700000
0.002179	67.700000
0.001711	67.700000
0.001259	67.700000
0.001024	67.700000
0.000921	67.700000
0.000719	67.700000
0.000457	67.700000
0.000216	67.700000
-0.000011	67.700000
