kamy	mass
0.002185	66.300000
0.002719	66.300000
0.002633	66.300000
0.001230	66.300000
-0.000444	66.300000
-0.002690	66.300000
-0.004609	66.300000
-0.005846	66.300000
-0.006325	66.300000
-0.005238	66.300000
-0.003687	66.300000
-0.001189	66.300000
0.001213	66.300000
0.003418	66.300000
0.005317	66.300000
0.006600	66.300000
0.007867	66.300000
0.009101	66.300000
0.010142	66.300000
0.010801	66.300000
0.011236	66.300000
0.011229	66.300000
0.011324	66.300000
0.011613	66.300000
0.012110	66.300000
0.013006	66.300000
0.013813	66.300000
0.014453	66.300000
0.014929	66.300000
0.015096	66.300000
0.015263	66.300000
0.015429	66.300000
0.015663	66.300000
0.016024	66.300000
0.016424	66.300000
0.016894	66.300000
0.017345	66.300000
0.017762	66.300000
0.018241	66.300000
0.018833	66.300000
0.019368	66.300000
0.019802	66.300000
0.020207	66.300000
0.020561	66.300000
0.020799	66.300000
0.020833	66.300000
0.020902	66.300000
0.021031	66.300000
0.021150	66.300000
0.021250	66.300000
0.021405	66.300000
0.021654	66.300000
0.021933	66.300000
0.022261	66.300000
0.022530	66.300000
0.022697	66.300000
0.022823	66.300000
0.022881	66.300000
0.022958	66.300000
0.023066	66.300000
0.023115	66.300000
0.023064	66.300000
0.023016	66.300000
0.022973	66.300000
0.022938	66.300000
0.022918	66.300000
0.022868	66.300000
0.022773	66.300000
0.022718	66.300000
0.022729	66.300000
0.022678	66.300000
0.022528	66.300000
0.022450	66.300000
0.022485	66.300000
0.022435	66.300000
0.022253	66.300000
0.022084	66.300000
0.021934	66.300000
0.021804	66.300000
0.021707	66.300000
0.021602	66.300000
0.021486	66.300000
0.021354	66.300000
0.021197	66.300000
0.021034	66.300000
0.020864	66.300000
0.020682	66.300000
0.020484	66.300000
0.020351	66.300000
0.020312	66.300000
0.020237	66.300000
0.020111	66.300000
0.020029	66.300000
0.020013	66.300000
0.020040	66.300000
0.020128	66.300000
0.020196	66.300000
0.020237	66.300000
0.020331	66.300000
0.020498	66.300000
0.020602	66.300000
0.020615	66.300000
0.020611	66.300000
0.020582	66.300000
0.020572	66.300000
0.020586	66.300000
0.020532	66.300000
0.020386	66.300000
0.020224	66.300000
0.020041	66.300000
0.019857	66.300000
0.019671	66.300000
0.019466	66.300000
0.019236	66.300000
0.019064	66.300000
0.018966	66.300000
0.018846	66.300000
0.018698	66.300000
0.018524	66.300000
0.018318	66.300000
0.018131	66.300000
0.017970	66.300000
0.017721	66.300000
0.017362	66.300000
0.016996	66.300000
0.016623	66.300000
0.016231	66.300000
0.015815	66.300000
0.015458	66.300000
0.015173	66.300000
0.014830	66.300000
0.014416	66.300000
0.013965	66.300000
0.013469	66.300000
0.012873	66.300000
0.012157	66.300000
0.011277	66.300000
0.010201	66.300000
0.009074	66.300000
0.007888	66.300000
0.006725	66.300000
0.005591	66.300000
0.004538	66.300000
0.003582	66.300000
0.002637	66.300000
0.001707	66.300000
0.000782	66.300000
-0.000137	66.300000
-0.000937	66.300000
-0.001599	66.300000
-0.002081	66.300000
-0.002355	66.300000
-0.002613	66.300000
-0.002852	66.300000
-0.003023	66.300000
-0.003119	66.300000
-0.003060	66.300000
-0.002829	66.300000
-0.002607	66.300000
-0.002395	66.300000
-0.002000	66.300000
-0.001404	66.300000
